hour_number_dec,hour_number,price,demand,capacity
2023-12-13 14:00:00,20231213-14,29.66,17293,24846
2023-12-13 15:00:00,20231213-15,28.41,17377,24743
2023-12-13 16:00:00,20231213-16,32.22,18170,24191
2023-12-13 17:00:00,20231213-17,98.73,19410,24616
2023-12-13 18:00:00,20231213-18,106.68,20004,24474
2023-12-13 19:00:00,20231213-19,34.07,19491,24160
2023-12-13 20:00:00,20231213-20,38.95,19321,24160
2023-12-13 21:00:00,20231213-21,40.21,19220,24138
2023-12-13 22:00:00,20231213-22,49.29,18640,24164
2023-12-13 23:00:00,20231213-23,35.41,17400,23929
2023-12-14 00:00:00,20231214-0,31.51,16274,24024
2023-12-14 01:00:00,20231214-1,27.8,15541,24300
2023-12-14 02:00:00,20231214-2,35.0,15157,24594
2023-12-14 03:00:00,20231214-3,27.01,14868,24567
2023-12-14 04:00:00,20231214-4,27.69,14699,24692
2023-12-14 05:00:00,20231214-5,26.59,14888,24692
2023-12-14 06:00:00,20231214-6,30.16,15375,24986
2023-12-14 07:00:00,20231214-7,30.93,16599,25108
2023-12-14 08:00:00,20231214-8,33.37,17860,24899
2023-12-14 09:00:00,20231214-9,34.6,18215,24898
2023-12-14 10:00:00,20231214-10,31.6,17924,25093
2023-12-14 11:00:00,20231214-11,31.03,17741,25341
2023-12-14 12:00:00,20231214-12,31.47,17652,25565
2023-12-14 13:00:00,20231214-13,30.83,17436,26039
2023-12-14 14:00:00,20231214-14,26.35,17222,26242
2023-12-14 15:00:00,20231214-15,24.95,16935,26412
2023-12-14 16:00:00,20231214-16,25.89,17309,26522
2023-12-14 17:00:00,20231214-17,29.74,18073,26662
2023-12-14 18:00:00,20231214-18,29.27,18686,26855
2023-12-14 19:00:00,20231214-19,28.98,18470,26948
2023-12-14 20:00:00,20231214-20,28.29,18299,26948
2023-12-14 21:00:00,20231214-21,30.2,18037,27550
2023-12-14 22:00:00,20231214-22,27.13,17377,27566
2023-12-14 23:00:00,20231214-23,26.32,16321,27469
2023-12-15 00:00:00,20231215-0,22.66,15491,27493
2023-12-15 01:00:00,20231215-1,21.77,14765,27380
2023-12-15 02:00:00,20231215-2,18.56,14347,27286
2023-12-15 03:00:00,20231215-3,20.51,14164,26993
2023-12-15 04:00:00,20231215-4,15.53,13949,26866
2023-12-15 05:00:00,20231215-5,14.35,14149,26782
2023-12-15 06:00:00,20231215-6,19.96,14805,26920
2023-12-15 07:00:00,20231215-7,27.79,15848,26816
2023-12-15 08:00:00,20231215-8,30.63,17132,26703
2023-12-15 09:00:00,20231215-9,30.98,17474,26521
2023-12-15 10:00:00,20231215-10,30.66,16924,26222
2023-12-15 11:00:00,20231215-11,27.3,16328,25796
2023-12-15 12:00:00,20231215-12,26.92,15990,25299
2023-12-15 13:00:00,20231215-13,26.01,15421,25305
2023-12-15 14:00:00,20231215-14,25.86,15442,25289
2023-12-15 15:00:00,20231215-15,25.24,15602,24881
2023-12-15 16:00:00,20231215-16,27.06,16459,25090
2023-12-15 17:00:00,20231215-17,29.47,17519,24933
2023-12-15 18:00:00,20231215-18,30.51,17965,24852
2023-12-15 19:00:00,20231215-19,28.06,17618,24848
2023-12-15 20:00:00,20231215-20,30.82,17411,24848
2023-12-15 21:00:00,20231215-21,30.84,17149,24628
2023-12-15 22:00:00,20231215-22,31.32,16690,25089
2023-12-15 23:00:00,20231215-23,31.47,15845,24860
2023-12-16 00:00:00,20231216-0,30.44,14968,24458
2023-12-16 01:00:00,20231216-1,33.86,14445,23966
2023-12-16 02:00:00,20231216-2,28.59,14011,23735
2023-12-16 03:00:00,20231216-3,31.54,13639,23622
2023-12-16 04:00:00,20231216-4,22.3,13418,23707
2023-12-16 05:00:00,20231216-5,27.77,13430,23748
2023-12-16 06:00:00,20231216-6,27.69,13826,23775
2023-12-16 07:00:00,20231216-7,26.98,14434,23872
2023-12-16 08:00:00,20231216-8,26.96,15151,24098
2023-12-16 09:00:00,20231216-9,26.48,15429,24388
2023-12-16 10:00:00,20231216-10,24.38,15673,24905
2023-12-16 11:00:00,20231216-11,26.95,15869,25252
2023-12-16 12:00:00,20231216-12,26.96,15960,25258
2023-12-16 13:00:00,20231216-13,27.8,15960,25324
2023-12-16 14:00:00,20231216-14,26.61,16075,25383
2023-12-16 15:00:00,20231216-15,28.4,16429,25509
2023-12-16 16:00:00,20231216-16,25.78,16735,25472
2023-12-16 17:00:00,20231216-17,27.12,17234,25732
2023-12-16 18:00:00,20231216-18,27.1,17588,26752
2023-12-16 19:00:00,20231216-19,28.0,17098,27199
2023-12-16 20:00:00,20231216-20,27.6,16765,27399
2023-12-16 21:00:00,20231216-21,27.05,16490,27309
2023-12-16 22:00:00,20231216-22,26.95,15973,27525
2023-12-16 23:00:00,20231216-23,22.19,15249,27830
2023-12-17 00:00:00,20231217-0,12.23,14516,27933
2023-12-17 01:00:00,20231217-1,11.1,14125,28101
2023-12-17 02:00:00,20231217-2,7.37,13550,28167
2023-12-17 03:00:00,20231217-3,0.81,13259,28215
2023-12-17 04:00:00,20231217-4,4.57,13115,28314
2023-12-17 05:00:00,20231217-5,4.95,13108,28244
2023-12-17 06:00:00,20231217-6,5.23,13221,28195
2023-12-17 07:00:00,20231217-7,12.5,13798,28166
2023-12-17 08:00:00,20231217-8,10.77,14359,28141
2023-12-17 09:00:00,20231217-9,11.59,14923,27918
2023-12-17 10:00:00,20231217-10,13.33,15699,28016
2023-12-17 11:00:00,20231217-11,26.33,16193,28053
2023-12-17 12:00:00,20231217-12,30.49,16531,28140
2023-12-17 13:00:00,20231217-13,46.5,16935,28000
2023-12-17 14:00:00,20231217-14,29.47,16864,27826
2023-12-17 15:00:00,20231217-15,26.92,16790,27746
2023-12-17 16:00:00,20231217-16,24.73,16904,27867
2023-12-17 17:00:00,20231217-17,27.77,17509,27757
2023-12-17 18:00:00,20231217-18,31.71,18259,27398
2023-12-17 19:00:00,20231217-19,32.04,17958,26947
2023-12-17 20:00:00,20231217-20,30.79,17415,26616
2023-12-17 21:00:00,20231217-21,27.91,16833,26481
2023-12-17 22:00:00,20231217-22,27.5,16050,26470
2023-12-17 23:00:00,20231217-23,27.76,15156,26297
2023-12-18 00:00:00,20231218-0,34.32,14512,26303
2023-12-18 01:00:00,20231218-1,26.88,14088,26580
2023-12-18 02:00:00,20231218-2,21.72,13576,26508
2023-12-18 03:00:00,20231218-3,16.24,13351,25792
2023-12-18 04:00:00,20231218-4,14.35,13251,25443
2023-12-18 05:00:00,20231218-5,7.27,13250,25674
2023-12-18 06:00:00,20231218-6,4.14,13891,25834
2023-12-18 07:00:00,20231218-7,25.75,15120,26083
2023-12-18 08:00:00,20231218-8,26.97,16408,26238
2023-12-18 09:00:00,20231218-9,27.15,17373,26363
2023-12-18 10:00:00,20231218-10,28.64,17342,26299
2023-12-18 11:00:00,20231218-11,32.49,17601,26573
2023-12-18 12:00:00,20231218-12,29.76,17809,26769
2023-12-18 13:00:00,20231218-13,29.04,17515,27359
2023-12-18 14:00:00,20231218-14,28.94,17507,27672
2023-12-18 15:00:00,20231218-15,29.86,17637,27919
2023-12-18 16:00:00,20231218-16,27.06,17718,27815
2023-12-18 17:00:00,20231218-17,29.26,18364,28068
2023-12-18 18:00:00,20231218-18,31.82,19033,28229
2023-12-18 19:00:00,20231218-19,28.42,18487,28305
2023-12-18 20:00:00,20231218-20,27.77,18385,28123
2023-12-18 21:00:00,20231218-21,27.4,17978,27952
2023-12-18 22:00:00,20231218-22,29.83,17695,28095
2023-12-18 23:00:00,20231218-23,26.86,16626,28318
2023-12-19 00:00:00,20231219-0,22.24,15584,28467
2023-12-19 01:00:00,20231219-1,12.73,14934,29069
2023-12-19 02:00:00,20231219-2,14.24,14639,28879
2023-12-19 03:00:00,20231219-3,13.37,14434,28735
2023-12-19 04:00:00,20231219-4,14.07,14426,28653
2023-12-19 05:00:00,20231219-5,12.91,14490,28486
2023-12-19 06:00:00,20231219-6,23.97,15085,28046
2023-12-19 07:00:00,20231219-7,31.35,16376,27887
2023-12-19 08:00:00,20231219-8,31.99,17959,27610
2023-12-19 09:00:00,20231219-9,31.56,18456,27376
2023-12-19 10:00:00,20231219-10,32.88,18647,27037
2023-12-19 11:00:00,20231219-11,33.6,18620,26503
2023-12-19 12:00:00,20231219-12,32.69,18284,26195
2023-12-19 13:00:00,20231219-13,29.72,17844,26218
2023-12-19 14:00:00,20231219-14,28.16,17623,26303
2023-12-19 15:00:00,20231219-15,27.98,17631,26451
2023-12-19 16:00:00,20231219-16,31.64,18165,26295
2023-12-19 17:00:00,20231219-17,36.72,19035,26457
2023-12-19 18:00:00,20231219-18,36.02,19717,26453
2023-12-19 19:00:00,20231219-19,33.11,19324,26548
2023-12-19 20:00:00,20231219-20,32.67,19138,26827
2023-12-19 21:00:00,20231219-21,32.06,18789,27121
2023-12-19 22:00:00,20231219-22,29.28,18006,27320
2023-12-19 23:00:00,20231219-23,27.82,17086,27907
2023-12-20 00:00:00,20231220-0,21.65,15942,28094
2023-12-20 01:00:00,20231220-1,20.75,15219,27862
2023-12-20 02:00:00,20231220-2,17.13,14693,27767
2023-12-20 03:00:00,20231220-3,22.47,14607,27631
2023-12-20 04:00:00,20231220-4,18.18,14510,27551
2023-12-20 05:00:00,20231220-5,25.96,14720,27311
2023-12-20 06:00:00,20231220-6,28.34,15194,27166
2023-12-20 07:00:00,20231220-7,30.38,16442,26987
2023-12-20 08:00:00,20231220-8,30.69,17962,26894
2023-12-20 09:00:00,20231220-9,33.02,18356,26449
2023-12-20 10:00:00,20231220-10,31.35,18335,26177
2023-12-20 11:00:00,20231220-11,33.87,18192,25932
2023-12-20 12:00:00,20231220-12,32.13,17936,25731
2023-12-20 13:00:00,20231220-13,34.52,17472,25477
2023-12-20 14:00:00,20231220-14,34.95,17901,25426
2023-12-20 15:00:00,20231220-15,33.66,18043,25225
2023-12-20 16:00:00,20231220-16,32.92,18348,25184
2023-12-20 17:00:00,20231220-17,33.19,19038,25087
2023-12-20 18:00:00,20231220-18,34.43,19452,25083
2023-12-20 19:00:00,20231220-19,37.46,19224,25177
2023-12-20 20:00:00,20231220-20,39.09,18806,25226
2023-12-20 21:00:00,20231220-21,39.42,18485,25320
2023-12-20 22:00:00,20231220-22,37.2,17746,25336
2023-12-20 23:00:00,20231220-23,31.97,16752,25507
2023-12-21 00:00:00,20231221-0,27.4,15706,25581
2023-12-21 01:00:00,20231221-1,28.4,15117,25998
2023-12-21 02:00:00,20231221-2,24.17,14505,26039
2023-12-21 03:00:00,20231221-3,23.22,14258,26111
2023-12-21 04:00:00,20231221-4,23.44,14174,26305
2023-12-21 05:00:00,20231221-5,26.53,14426,26463
2023-12-21 06:00:00,20231221-6,26.98,14991,26612
2023-12-21 07:00:00,20231221-7,31.09,16232,26749
2023-12-21 08:00:00,20231221-8,31.04,17586,26566
2023-12-21 09:00:00,20231221-9,31.65,18000,26781
2023-12-21 10:00:00,20231221-10,30.96,17656,26996
2023-12-21 11:00:00,20231221-11,27.69,17275,27215
2023-12-21 12:00:00,20231221-12,26.66,17054,26950
2023-12-21 13:00:00,20231221-13,26.47,16866,27791
2023-12-21 14:00:00,20231221-14,29.03,17070,27543
2023-12-21 15:00:00,20231221-15,29.43,17395,27452
2023-12-21 16:00:00,20231221-16,29.67,17959,27227
2023-12-21 17:00:00,20231221-17,29.69,18817,27057
2023-12-21 18:00:00,20231221-18,29.51,19625,27132
2023-12-21 19:00:00,20231221-19,31.82,19359,27118
2023-12-21 20:00:00,20231221-20,34.61,19224,27079
2023-12-21 21:00:00,20231221-21,43.18,19005,27077
2023-12-21 22:00:00,20231221-22,37.16,18430,27100
2023-12-21 23:00:00,20231221-23,34.85,17323,27049
2023-12-22 00:00:00,20231222-0,29.4,16201,26991
2023-12-22 01:00:00,20231222-1,31.18,15506,27019
2023-12-22 02:00:00,20231222-2,31.46,15115,26825
2023-12-22 03:00:00,20231222-3,28.89,14923,26632
2023-12-22 04:00:00,20231222-4,28.55,14814,26676
2023-12-22 05:00:00,20231222-5,28.55,15010,26726
2023-12-22 06:00:00,20231222-6,31.56,15461,26584
2023-12-22 07:00:00,20231222-7,34.35,16490,26444
2023-12-22 08:00:00,20231222-8,34.72,17748,26418
2023-12-22 09:00:00,20231222-9,35.86,18173,26485
2023-12-22 10:00:00,20231222-10,36.31,18198,26548
2023-12-22 11:00:00,20231222-11,34.18,18078,26525
2023-12-22 12:00:00,20231222-12,34.05,17956,26542
2023-12-22 13:00:00,20231222-13,33.27,17758,26646
2023-12-22 14:00:00,20231222-14,34.41,17725,26513
2023-12-22 15:00:00,20231222-15,33.03,17668,26403
2023-12-22 16:00:00,20231222-16,32.81,17933,26581
2023-12-22 17:00:00,20231222-17,34.13,18467,26694
2023-12-22 18:00:00,20231222-18,33.55,18941,26774
2023-12-22 19:00:00,20231222-19,33.37,18543,26982
2023-12-22 20:00:00,20231222-20,34.13,18138,26984
2023-12-22 21:00:00,20231222-21,33.46,17819,27030
2023-12-22 22:00:00,20231222-22,31.08,17209,27072
2023-12-22 23:00:00,20231222-23,31.2,16256,26978
2023-12-23 00:00:00,20231223-0,30.84,15297,25941
2023-12-23 01:00:00,20231223-1,29.5,14681,25294
2023-12-23 02:00:00,20231223-2,29.71,14224,25182
2023-12-23 03:00:00,20231223-3,33.03,13891,25022
2023-12-23 04:00:00,20231223-4,30.93,13731,25071
2023-12-23 05:00:00,20231223-5,27.77,13872,25169
2023-12-23 06:00:00,20231223-6,24.38,13989,25277
2023-12-23 07:00:00,20231223-7,24.61,14457,25540
2023-12-23 08:00:00,20231223-8,27.79,15187,25670
2023-12-23 09:00:00,20231223-9,29.31,15867,25702
2023-12-23 10:00:00,20231223-10,31.67,16600,25634
2023-12-23 11:00:00,20231223-11,34.72,17050,25487
2023-12-23 12:00:00,20231223-12,34.43,17404,25414
2023-12-23 13:00:00,20231223-13,32.13,17488,25359
2023-12-23 14:00:00,20231223-14,30.62,17444,25197
2023-12-23 15:00:00,20231223-15,29.66,17365,25053
2023-12-23 16:00:00,20231223-16,31.35,17365,24858
2023-12-23 17:00:00,20231223-17,42.81,17730,24733
2023-12-23 18:00:00,20231223-18,33.84,18051,24675
2023-12-23 19:00:00,20231223-19,31.91,17591,24625
2023-12-23 20:00:00,20231223-20,29.29,17189,24646
2023-12-23 21:00:00,20231223-21,29.26,16719,24692
2023-12-23 22:00:00,20231223-22,30.81,16184,24614
2023-12-23 23:00:00,20231223-23,28.15,15328,24595
2023-12-24 00:00:00,20231224-0,25.5,14558,24590
2023-12-24 01:00:00,20231224-1,28.58,13907,25900
2023-12-24 02:00:00,20231224-2,30.59,13455,25901
2023-12-24 03:00:00,20231224-3,31.55,13224,25872
2023-12-24 04:00:00,20231224-4,32.0,13006,25857
2023-12-24 05:00:00,20231224-5,27.64,12997,25869
2023-12-24 06:00:00,20231224-6,25.09,13164,25877
2023-12-24 07:00:00,20231224-7,31.9,13612,25285
2023-12-24 08:00:00,20231224-8,31.78,14440,25286
2023-12-24 09:00:00,20231224-9,26.34,15209,25370
2023-12-24 10:00:00,20231224-10,27.36,15817,25450
2023-12-24 11:00:00,20231224-11,28.4,16151,26124
2023-12-24 12:00:00,20231224-12,41.27,16658,26201
2023-12-24 13:00:00,20231224-13,44.77,16823,26150
2023-12-24 14:00:00,20231224-14,32.4,16664,26237
2023-12-24 15:00:00,20231224-15,36.28,16661,26248
2023-12-24 16:00:00,20231224-16,32.2,16780,26120
2023-12-24 17:00:00,20231224-17,32.26,16935,26129
2023-12-24 18:00:00,20231224-18,27.49,16877,26181
2023-12-24 19:00:00,20231224-19,28.59,16296,26235
2023-12-24 20:00:00,20231224-20,32.75,15764,26342
2023-12-24 21:00:00,20231224-21,29.74,15426,26509
2023-12-24 22:00:00,20231224-22,26.9,14935,26597
2023-12-24 23:00:00,20231224-23,24.44,14378,26692
2023-12-25 00:00:00,20231225-0,24.5,13767,26719
2023-12-25 01:00:00,20231225-1,25.88,13103,26830
2023-12-25 02:00:00,20231225-2,24.6,12819,26854
2023-12-25 03:00:00,20231225-3,25.63,12552,26695
2023-12-25 04:00:00,20231225-4,30.89,12560,26751
2023-12-25 05:00:00,20231225-5,25.56,12648,26628
2023-12-25 06:00:00,20231225-6,24.36,12756,26726
2023-12-25 07:00:00,20231225-7,24.2,13099,26926
2023-12-25 08:00:00,20231225-8,17.67,13690,26974
2023-12-25 09:00:00,20231225-9,19.01,14250,27258
2023-12-25 10:00:00,20231225-10,21.9,14733,27285
2023-12-25 11:00:00,20231225-11,24.24,15089,27243
2023-12-25 12:00:00,20231225-12,24.29,15261,27110
2023-12-25 13:00:00,20231225-13,24.27,15067,26993
2023-12-25 14:00:00,20231225-14,24.25,15054,26970
2023-12-25 15:00:00,20231225-15,24.9,15329,26883
2023-12-25 16:00:00,20231225-16,24.26,15541,26994
2023-12-25 17:00:00,20231225-17,23.49,15769,27176
2023-12-25 18:00:00,20231225-18,23.51,15795,27442
2023-12-25 19:00:00,20231225-19,25.38,15174,27679
2023-12-25 20:00:00,20231225-20,17.48,14816,27911
2023-12-25 21:00:00,20231225-21,14.38,14641,28017
2023-12-25 22:00:00,20231225-22,17.38,14376,28045
2023-12-25 23:00:00,20231225-23,19.55,13773,27880
2023-12-26 00:00:00,20231226-0,25.23,13185,27878
2023-12-26 01:00:00,20231226-1,25.02,12831,27869
2023-12-26 02:00:00,20231226-2,7.97,12490,27571
2023-12-26 03:00:00,20231226-3,5.78,12117,27612
2023-12-26 04:00:00,20231226-4,4.72,12029,27669
2023-12-26 05:00:00,20231226-5,5.69,12106,27746
2023-12-26 06:00:00,20231226-6,13.53,12509,27798
2023-12-26 07:00:00,20231226-7,24.22,13050,27567
2023-12-26 08:00:00,20231226-8,25.08,13548,27379
2023-12-26 09:00:00,20231226-9,23.96,13996,27342
2023-12-26 10:00:00,20231226-10,23.41,14353,27125
2023-12-26 11:00:00,20231226-11,26.01,14637,26990
2023-12-26 12:00:00,20231226-12,28.67,15082,26808
2023-12-26 13:00:00,20231226-13,29.16,15231,26535
2023-12-26 14:00:00,20231226-14,29.29,15214,26544
2023-12-26 15:00:00,20231226-15,29.09,15231,26627
2023-12-26 16:00:00,20231226-16,30.27,15407,26573
2023-12-26 17:00:00,20231226-17,32.67,15967,26512
2023-12-26 18:00:00,20231226-18,31.94,16333,26560
2023-12-26 19:00:00,20231226-19,31.38,16124,26645
2023-12-26 20:00:00,20231226-20,29.67,15841,26659
2023-12-26 21:00:00,20231226-21,29.33,15472,26589
2023-12-26 22:00:00,20231226-22,30.79,15001,26605
2023-12-26 23:00:00,20231226-23,28.37,14223,26252
2023-12-27 00:00:00,20231227-0,24.92,13453,26199
2023-12-27 01:00:00,20231227-1,26.32,12905,26440
2023-12-27 02:00:00,20231227-2,25.63,12489,25539
2023-12-27 03:00:00,20231227-3,22.59,12297,25480
2023-12-27 04:00:00,20231227-4,15.8,12317,25450
2023-12-27 05:00:00,20231227-5,21.71,12505,25512
2023-12-27 06:00:00,20231227-6,24.7,12891,25544
2023-12-27 07:00:00,20231227-7,24.74,13723,25481
2023-12-27 08:00:00,20231227-8,25.06,14466,25525
2023-12-27 09:00:00,20231227-9,27.35,15086,25535
2023-12-27 10:00:00,20231227-10,27.96,15575,25614
2023-12-27 11:00:00,20231227-11,29.45,16102,25341
2023-12-27 12:00:00,20231227-12,29.68,16487,25760
2023-12-27 13:00:00,20231227-13,30.25,16731,25609
2023-12-27 14:00:00,20231227-14,29.61,16631,25684
2023-12-27 15:00:00,20231227-15,28.47,16462,25748
2023-12-27 16:00:00,20231227-16,29.53,16504,25891
2023-12-27 17:00:00,20231227-17,31.09,16903,25735
2023-12-27 18:00:00,20231227-18,32.81,17358,25800
2023-12-27 19:00:00,20231227-19,31.26,17040,25821
2023-12-27 20:00:00,20231227-20,29.72,16787,25711
2023-12-27 21:00:00,20231227-21,27.77,16363,25767
2023-12-27 22:00:00,20231227-22,27.94,15724,25836
2023-12-27 23:00:00,20231227-23,24.98,14872,25865
2023-12-28 00:00:00,20231228-0,25.18,14012,25791
2023-12-28 01:00:00,20231228-1,26.92,13359,26143
2023-12-28 02:00:00,20231228-2,25.12,13007,26069
2023-12-28 03:00:00,20231228-3,27.44,12947,26083
2023-12-28 04:00:00,20231228-4,29.39,12879,26147
2023-12-28 05:00:00,20231228-5,24.8,12921,25997
2023-12-28 06:00:00,20231228-6,26.34,13255,25926
2023-12-28 07:00:00,20231228-7,25.82,13895,25817
2023-12-28 08:00:00,20231228-8,27.34,14646,25761
2023-12-28 09:00:00,20231228-9,28.94,15214,25479
