hour_number,price,to_drop,demand,capacity
20240208-20,29.58,DSO-RD;,17393,27762
20240208-21,30.28,DSO-RD;,17167,27826
20240208-22,27.25,DSO-RD;,16843,28071
20240208-23,22.47,DSO-RD;,15823,28113
20240208-24,17.67,DSO-RD;,14867,27958
20240220-1,25.5,DSO-RD;,15205,25285
20240220-2,26.84,DSO-RD;,14903,25331
20240220-3,25.99,DSO-RD;,14835,25301
20240220-4,27.1,DSO-RD;,14899,25309
20240220-5,27.25,DSO-RD;,15147,25503
20240220-6,27.79,DSO-RD;,15903,25670
20240220-7,33.54,DSO-RD;,17218,25531
20240220-8,43.33,DSO-RD;,18527,25477
20240220-9,33.43,DSO-RD;,18379,25129
20240220-10,32.47,DSO-RD;,17841,25028
20240220-11,27.31,DSO-RD;,17110,25370
20240220-12,25.16,DSO-RD;,16789,25188
20240220-13,25.11,DSO-RD;,16649,25234
20240220-14,23.67,DSO-RD;,16528,25248
20240220-15,23.54,DSO-RD;,16320,25475
20240220-16,23.43,DSO-RD;,16609,25620
20240220-17,23.67,DSO-RD;,17233,25386
20240220-18,27.96,DSO-RD;,18287,25518
20240220-19,26.5,DSO-RD;,18683,25838
20240220-20,27.62,DSO-RD;,18693,26152
20240220-21,28.86,DSO-RD;,18533,26707
20240220-22,23.01,DSO-RD;,17974,26721
20240220-23,23.59,DSO-RD;,17058,27165
20240220-24,24.69,DSO-RD;,16110,27126
20231220-1,20.75,DSO-RD;,15219,27862
20231220-2,17.13,DSO-RD;,14693,27767
20231220-3,22.47,DSO-RD;,14607,27631
20231220-4,18.18,DSO-RD;,14510,27551
20231220-5,25.96,DSO-RD;,14720,27311
20231220-6,28.34,DSO-RD;,15194,27166
20231220-7,30.38,DSO-RD;,16442,26987
20231220-8,30.69,DSO-RD;,17962,26894
20231220-9,33.02,DSO-RD;,18356,26449
20231220-10,31.35,DSO-RD;,18335,26177
20231220-11,33.87,DSO-RD;,18192,25932
20231220-12,32.13,DSO-RD;,17936,25731
20231220-13,34.52,DSO-RD;,17472,25477
20231220-14,34.95,DSO-RD;,17901,25426
20231220-15,33.66,DSO-RD;,18043,25225
20231220-16,32.92,DSO-RD;,18348,25184
20231220-17,33.19,DSO-RD;,19038,25087
20231220-18,34.43,DSO-RD;,19452,25083
20231220-19,37.46,DSO-RD;,19224,25177
20231220-20,39.09,DSO-RD;,18806,25226
20231220-21,39.42,DSO-RD;,18485,25320
20231220-22,37.2,DSO-RD;,17746,25336
20231220-23,31.97,DSO-RD;,16752,25507
20231220-24,27.4,DSO-RD;,15706,25581
20231209-1,17.79,DSO-RD;,14149,27275
20231209-2,14.34,DSO-RD;,13664,27333
20231209-3,22.23,DSO-RD;,13325,27244
20231209-4,17.85,DSO-RD;,13157,27133
20231209-5,26.74,DSO-RD;,13242,26984
20231209-6,15.74,DSO-RD;,13452,26867
20231209-7,14.34,DSO-RD;,13934,26913
20231209-8,24.72,DSO-RD;,14491,27138
20231209-9,27.7,DSO-RD;,15167,27519
20231209-10,28.2,DSO-RD;,15763,27715
20231209-11,28.21,DSO-RD;,16098,28082
20231209-12,28.21,DSO-RD;,16439,28077
20231209-13,20.75,DSO-RD;,16583,28087
20231209-14,27.63,DSO-RD;,16360,28181
20231209-15,17.11,DSO-RD;,16252,28263
20231209-16,23.89,DSO-RD;,16476,28276
20231209-17,26.47,DSO-RD;,16871,28005
20231209-18,28.88,DSO-RD;,17204,28026
20231209-19,30.15,DSO-RD;,16800,27572
20231209-20,31.04,DSO-RD;,16453,26846
20231209-21,30.53,DSO-RD;,16146,25816
20231209-22,31.37,DSO-RD;,15725,25699
20231209-23,28.23,DSO-RD;,14758,25524
20231209-24,27.86,DSO-RD;,13975,25966
20231221-1,28.4,DSO-RD;,15117,25998
20231221-2,24.17,DSO-RD;,14505,26039
20231221-3,23.22,DSO-RD;,14258,26111
20231221-4,23.44,DSO-RD;,14174,26305
20231221-5,26.53,DSO-RD;,14426,26463
20231221-6,26.98,DSO-RD;,14991,26612
20231221-7,31.09,DSO-RD;,16232,26749
20231221-8,31.04,DSO-RD;,17586,26566
20231221-9,31.65,DSO-RD;,18000,26781
20231221-10,30.96,DSO-RD;,17656,26996
20231221-11,27.69,DSO-RD;,17275,27215
20231221-12,26.66,DSO-RD;,17054,26950
20231221-13,26.47,DSO-RD;,16866,27791
